,0
0,314827987.5
1,314921425
2,316828000
3,319527650
4,322288337.5
5,325081250
6,327892750
7,330487500
8,331118175
9,331336212.5
10,331530475
11,331714237.5
12,331893000
13,332068600
14,332241512.5
15,332412262.5
16,332581775
17,332747712.5
18,332283937.5
19,329520012.5
20,326565375
21,323576450
22,320564262.5
23,317533237.5
24,314484537.5
25,306017050
26,291932350
27,273300000
28,244738287.5
29,215530787.5
30,185695262.5
31,155207600
32,126418931.3
33,101734040.6
34,84790531.25
35,67437453.13
36,53812453.13
37,46716237.5
38,39457656.25
39,32006540.63
40,24352753.13
41,16485558.59
42,13191562.11
43,11411012.89
44,9577071.484
45,7685854.688
46,5733741.797
47,4498815.43
48,4032828.32
49,3550714.063
50,3050854.102
51,2541819.629
52,2350948.242
53,2156119.043
54,1952896.924
55,1796030.322
56,1854043.506
57,1915135.107
58,1979401.416
59,2037089.258
60,2096816.992
61,2120150.244
62,1966408.203
63,1801755.957
64,1556546.045
65,1277075.146
66,994306.4941
67,699781.665
68,447043.6157
69,267606.8481
70,161463.8062
71,111090.033
72,78800.65613
73,52835.41565
