,0
0,3148279.875
1,3149214.25
2,3168280.0
3,3195276.5
4,3222883.375
5,3250812.5
6,3278927.5
7,3304875.0
8,3311181.75
9,3313362.125
10,3315304.75
11,3317142.375
12,3318930.0
13,3320686.0
14,3322415.125
15,3324122.625
16,3325817.75
17,3327477.125
18,3322839.375
19,3295200.125
20,3265653.75
21,3235764.5
22,3205642.625
23,3175332.375
24,3144845.375
25,3060170.5
26,2919323.5
27,2733000.0
28,2447382.875
29,2155307.875
30,1856952.625
31,1552076.0
32,1264189.3125
33,1017340.40625
34,847905.3125
35,674374.53125
36,538124.53125
37,467162.375
38,394576.5625
39,320065.40625
40,243527.53125
41,164855.5859375
42,131915.62109375
43,114110.12890625
44,95770.71484375
45,76858.546875
46,57337.41796875
47,44988.154296875
48,40328.283203125
49,35507.140625
50,30508.541015625
51,25418.1962890625
52,23509.482421875
53,21561.1904296875
54,19528.96923828125
55,17960.30322265625
56,18540.43505859375
57,19151.35107421875
58,19794.01416015625
59,20370.892578125
60,20968.169921875
61,21201.50244140625
62,19664.08203125
63,18017.5595703125
64,15565.46044921875
65,12770.75146484375
66,9943.06494140625
67,6997.816650390625
68,4470.4361572265625
69,2676.0684814453125
70,1614.6380615234375
71,1110.9003295898438
72,788.0065612792969
73,528.3541564941406
