,0
0,1095196480.0
1,1095241312.0
2,1099901504.0
3,1104130432.0
4,1107573984.0
5,1110647040.0
6,1113576288.0
7,1116186048.0
8,1117373024.0
9,1119973504.0
10,1123142880.0
11,1126612928.0
12,1130248544.0
13,1133995296.0
14,1137832928.0
15,1141745088.0
16,1145702368.0
17,1149692224.0
18,1154209696.0
19,1162632768.0
20,1171611968.0
21,1180717216.0
22,1189899968.0
23,1199143040.0
24,1208441472.0
25,1234266880.0
26,1277211392.0
27,1299717952.0
28,1275975104.0
29,1251536768.0
30,1226571840.0
31,1201048128.0
32,1089518880.0
33,953569952.0
34,860253728.0
35,764681536.0
36,681088704.0
37,618102176.0
38,553526336.0
39,487237616.0
40,419145872.0
41,349155408.0
42,315024832.0
43,292623888.0
44,269549016.0
45,245753544.0
46,221191960.0
47,204058720.0
48,194847632.0
49,185313416.0
50,175428464.0
51,165357968.0
52,161217904.0
53,156944920.0
54,152487992.0
55,148827488.0
56,148867384.0
57,148912184.0
58,148959392.0
59,150183688.0
60,151512384.0
61,152942408.0
62,154538424.0
63,156247296.0
64,158960048.0
65,162077504.0
66,166597264.0
67,172355168.0
68,182164488.0
69,198963872.0
70,227409808.0
71,279701088.0
72,356585840.0
73,423369424.0
